doi,publisher,type,created,created_year
10.31223/osf.io/xqacs,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/xfvye,Center for Open Science,posted-content,2018-10-12,2018
10.31223/osf.io/e5m3v,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/43gnr,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/cs3yh,California Digital Library (CDL),posted-content,2018-09-30,2018
10.31223/osf.io/t59c7,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/uw3ex,California Digital Library (CDL),posted-content,2018-11-22,2018
10.31223/osf.io/a47py,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/jskw7,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/a4q6m,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/vwahr,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/e4gt7,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/8dhv2,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/myrkw,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/6y9n8,California Digital Library (CDL),posted-content,2018-08-29,2018
10.31223/osf.io/4vqcr,California Digital Library (CDL),posted-content,2018-08-28,2018
10.31223/osf.io/ezr6u,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31219/osf.io/qwns6,Center for Open Science,posted-content,2018-08-30,2018
10.31223/osf.io/jxzpc,California Digital Library (CDL),posted-content,2018-09-19,2018
10.31223/osf.io/y4rx3,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/xm3cs,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/mx6fr,California Digital Library (CDL),posted-content,2018-07-02,2018
10.21034/wp.533,Federal Reserve Bank of Minneapolis,posted-content,2019-08-30,2019
10.31223/osf.io/huz9c,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/tp9xj,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/wg7sn,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/j4m67,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31226/osf.io/r58b4,Center for Open Science,posted-content,2018-07-06,2018
10.31226/osf.io/dr4me,Center for Open Science,posted-content,2018-07-06,2018
10.21034/wp.431,Federal Reserve Bank of Minneapolis,posted-content,2019-08-30,2019
10.31234/osf.io/pcwvf,Center for Open Science,posted-content,2018-10-24,2018
10.31223/osf.io/6475r,California Digital Library (CDL),posted-content,2018-09-11,2018
10.31223/osf.io/djy8n,California Digital Library (CDL),posted-content,2018-11-14,2018
10.31223/osf.io/j2u9k,California Digital Library (CDL),posted-content,2019-01-08,2019
10.1101/048579,Cold Spring Harbor Laboratory,posted-content,2016-04-14,2016
10.31223/osf.io/hz4ct,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/x6brz,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/6xc29,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/wr2pf,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/9sz6m,California Digital Library (CDL),posted-content,2019-08-07,2019
10.31223/osf.io/2rgv5,California Digital Library (CDL),posted-content,2018-07-02,2018
10.17077/15jq-9y57,The University of Iowa,posted-content,2019-01-29,2019
10.31223/osf.io/duzq5,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/3t65d,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/g9ma5,California Digital Library (CDL),posted-content,2019-04-08,2019
10.31223/osf.io/4m7zx,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/gfxa6,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/zg9d7,California Digital Library (CDL),posted-content,2019-11-05,2019
10.31223/osf.io/hkbvf,California Digital Library (CDL),posted-content,2018-07-02,2018
