is_preprint_DOI,preprint_publisher,preprint_type,preprint_created,preprint_created_year,published_DOI,diagnosis
10.17077/uuv3-6zcf,The University of Iowa,posted-content,2019-04-30,2019,615379982,invalid format
10.17077/tk71-dgna,The University of Iowa,posted-content,2019-04-30,2019,9780838913390,invalid format
10.31228/osf.io/tq9zw,Center for Open Science,posted-content,2020-10-09,2020,10.1017/9781780685786.025,resource not found
10.21203/rs.3.rs-28186/v1,Research Square,posted-content,2020-05-11,2020,10.1038%2fs41598-020-78870-6,invalid format
10.21034/sr.374,Federal Reserve Bank of Minneapolis,posted-content,2019-11-08,2019,10.1057/9780230226203.0806,resource not found
10.21034/sr.370,Federal Reserve Bank of Minneapolis,posted-content,2019-11-08,2019,10.1057/9780230226203.1399,resource not found
10.36227/techrxiv.12212516,Institute of Electrical and Electronics Engineers (IEEE),posted-content,2020-04-30,2020,10.1109/tai.2020.3020521,invalid doi
10.31235/osf.io/n3qyd,Center for Open Science,posted-content,2018-07-02,2018,10.1111/j.1467-8284.2006.00600.x,resource not found
10.31235/osf.io/s2zxf,Center for Open Science,posted-content,2018-07-02,2018,10.1111/j.1467-8284.2006.00617.x,resource not found
10.31235/osf.io/mv8pk,Center for Open Science,posted-content,2018-07-02,2018,10.11218/ojjams.33.261,JaLC
10.20944/preprints201703.0192.v1,MDPI AG,posted-content,2017-03-27,2017,10.11568/kjm.2018.26.4.675,KISTI
10.20944/preprints201905.0107.v1,MDPI AG,posted-content,2019-05-21,2019,10.11568/kjm.2020.28.1.137,KISTI
10.31219/osf.io/my3tq,Center for Open Science,posted-content,2019-11-09,2019,10.11588/ijodr.2020.1.68010,KISTI
10.1101/440727,Cold Spring Harbor Laboratory,posted-content,2018-10-19,2018,10.1167/19.7.10,resource not found
10.21203/rs.3.rs-34892/v1,Research Square,posted-content,2020-06-17,2020,10.1177%2f0003134820982850,invalid format
10.21203/rs.3.rs-80793/v1,Research Square,posted-content,2020-09-21,2020,10.1177%2f2150132721993628,invalid format
10.21203/rs.3.rs-22221/v1,Research Square,posted-content,2020-04-20,2020,10.1186/s12889-021-10288-9,resource not found
10.21203/rs.3.rs-113073/v1,Research Square,posted-content,2020-11-25,2020,10.1186/s12889-021-10301-1,resource not found
10.21203/rs.3.rs-42340/v1,Research Square,posted-content,2020-07-16,2020,10.1186/s12909-021-02491-4,resource not found
10.21203/rs.3.rs-42400/v1,Research Square,posted-content,2020-07-20,2020,10.1186/s12959-021-00260-3,resource not found
10.21203/rs.3.rs-103706/v1,Research Square,posted-content,2020-11-17,2020,10.1186/s13018-021-02234-7,resource not found
10.21203/rs.3.rs-22816/v1,Research Square,posted-content,2020-04-17,2020,10.1186/s40677-020-00172-w,resource not found
10.1101/002196,Cold Spring Harbor Laboratory,posted-content,2014-01-29,2014,10.12688/f1000research.3986,resource not found
10.20944/preprints201906.0267.v1,MDPI AG,posted-content,2019-06-27,2019,10.12691/ajrd-8-1-5,invalid doi
10.31234/osf.io/mksx2,Center for Open Science,posted-content,2019-05-13,2019,10.12832/94728,mEDRA
10.1101/464834,Cold Spring Harbor Laboratory,posted-content,2018-11-08,2018,10.12899/asr-1933,mEDRA
10.31224/osf.io/jzdpq,Center for Open Science,posted-content,2019-03-19,2019,10.12989/scs.2019.30.5.457,KISTI
10.31237/osf.io/gvncb,Center for Open Science,posted-content,2018-07-02,2018,10.13016/m2cj5g,DataCite
10.20944/preprints201907.0323.v1,MDPI AG,posted-content,2019-07-29,2019,10.13135/2384-8677/5104,DataCite
10.31219/osf.io/6r95n,Center for Open Science,posted-content,2020-04-17,2020,10.13136/isr.v11i2.448,DataCite
10.31235/osf.io/tzucw,Center for Open Science,posted-content,2019-12-12,2019,10.13136/isr.v9i3.298,DataCite
10.31235/osf.io/56me8,Center for Open Science,posted-content,2021-05-09,2021,10.13140/rg.2.1.1067.2803,DataCite - ResearchGate
10.31224/osf.io/p6uc8,Center for Open Science,posted-content,2019-01-29,2019,10.13140/rg.2.1.1610.2160,DataCite - ResearchGate
10.31237/osf.io/5kvwy,Center for Open Science,posted-content,2018-07-02,2018,10.13140/rg.2.1.1652.6160,DataCite - ResearchGate
10.31235/osf.io/8ngjm,Center for Open Science,posted-content,2021-01-10,2021,10.13140/rg.2.1.4959.0488,DataCite - ResearchGate
10.31219/osf.io/9wkxj,Center for Open Science,posted-content,2020-12-02,2020,10.13140/rg.2.2.11226.16322,DataCite - ResearchGate
10.31224/osf.io/zac34,Center for Open Science,posted-content,2019-12-10,2019,10.13140/rg.2.2.11245.54248,DataCite - ResearchGate
10.31227/osf.io/54gbv,Center for Open Science,posted-content,2018-07-02,2018,10.13140/rg.2.2.11692.46728,DataCite - ResearchGate
10.31219/osf.io/8mwes,Center for Open Science,posted-content,2019-01-10,2019,10.13140/rg.2.2.11701.93923,DataCite - ResearchGate
10.31234/osf.io/4ycdz,Center for Open Science,posted-content,2019-07-13,2019,10.13140/rg.2.2.11828.60802,DataCite - ResearchGate
10.31219/osf.io/3emp8,Center for Open Science,posted-content,2019-09-19,2019,10.13140/rg.2.2.11926.09288,DataCite - ResearchGate
10.31219/osf.io/pw78e,Center for Open Science,posted-content,2020-08-03,2020,10.13140/rg.2.2.12197.52964,DataCite - ResearchGate
10.35542/osf.io/z6jeq,Center for Open Science,posted-content,2020-11-16,2020,10.13140/rg.2.2.12417.68962,DataCite - ResearchGate
10.31219/osf.io/9v2b3,Center for Open Science,posted-content,2020-04-07,2020,10.13140/rg.2.2.12426.41925,DataCite - ResearchGate
10.31219/osf.io/6xfqy,Center for Open Science,posted-content,2020-08-29,2020,10.13140/rg.2.2.12583.37287,DataCite - ResearchGate
10.31219/osf.io/wcua6,Center for Open Science,posted-content,2020-06-18,2020,10.13140/rg.2.2.12887.70562,DataCite - ResearchGate
10.31219/osf.io/bv4qp,Center for Open Science,posted-content,2020-04-20,2020,10.13140/rg.2.2.13275.11042,DataCite - ResearchGate
10.31124/advance.13271483.v1,SAGE Publications,posted-content,2020-12-03,2020,10.13140/rg.2.2.13538.35521,DataCite - ResearchGate
10.31219/osf.io/derym,Center for Open Science,posted-content,2020-04-08,2020,10.13140/rg.2.2.13763.35369,DataCite - ResearchGate
10.31219/osf.io/3cp7b,Center for Open Science,posted-content,2019-05-07,2019,10.13140/rg.2.2.14110.18244,DataCite - ResearchGate
10.31219/osf.io/ju63g,Center for Open Science,posted-content,2020-03-26,2020,10.13140/rg.2.2.15334.47685,DataCite - ResearchGate
10.31219/osf.io/24txd,Center for Open Science,posted-content,2019-12-14,2019,10.13140/rg.2.2.15419.57121,DataCite - ResearchGate
10.31219/osf.io/9exz6,Center for Open Science,posted-content,2018-07-02,2018,10.13140/rg.2.2.15545.06244,DataCite - ResearchGate
10.31237/osf.io/j6rxp,Center for Open Science,posted-content,2020-06-25,2020,10.13140/rg.2.2.15600.61449,DataCite - ResearchGate
10.31219/osf.io/q3vkt,Center for Open Science,posted-content,2020-11-09,2020,10.13140/rg.2.2.16110.64322,DataCite - ResearchGate
10.31234/osf.io/qakwz,Center for Open Science,posted-content,2020-05-13,2020,10.13140/rg.2.2.16481.45926,DataCite - ResearchGate
10.31227/osf.io/pey72,Center for Open Science,posted-content,2018-07-07,2018,10.13140/rg.2.2.16590.66887,DataCite - ResearchGate
10.31221/osf.io/wpg26,Center for Open Science,posted-content,2020-09-25,2020,10.13140/rg.2.2.16606.28485,DataCite - ResearchGate
10.31235/osf.io/4zjnf,Center for Open Science,posted-content,2020-05-19,2020,10.13140/rg.2.2.16799.38562,DataCite - ResearchGate
10.31234/osf.io/cya5x,Center for Open Science,posted-content,2021-03-31,2021,10.13140/rg.2.2.16857.65125,DataCite - ResearchGate
10.31237/osf.io/p4h9v,Center for Open Science,posted-content,2019-01-24,2019,10.13140/rg.2.2.16945.22881,DataCite - ResearchGate
10.35542/osf.io/yuzev,Center for Open Science,posted-content,2020-08-21,2020,10.13140/rg.2.2.17328.99845,DataCite - ResearchGate
10.31219/osf.io/v2ke9,Center for Open Science,posted-content,2020-06-18,2020,10.13140/rg.2.2.17920.87048,DataCite - ResearchGate
