"DOI","publisher","type","created","created_year"
"10.5555/cs3112-testdoi-4","Test accounts","posted-content",2017-01-09,2017
"10.7287/peerj.preprints.317v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.339v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.170v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.313v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.345v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.433v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.350v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.337v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.337v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.328v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.416v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.416v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.302v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.302v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.258v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.391v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.429v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.465v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.471v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.471v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.425v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.400v3","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.476v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.387v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.462v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.462v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.195v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.475v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.452v3","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.452v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.421v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.502v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.498v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.524v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.435v1","PeerJ","posted-content",2018-01-12,2018
"10.31234/osf.io/27esu","Center for Open Science","posted-content",2018-07-02,2018
"10.7287/peerj.preprints.415v2","PeerJ","posted-content",2018-01-12,2018
"10.31226/osf.io/dr4me","Center for Open Science","posted-content",2018-07-06,2018
"10.7287/peerj.preprints.472v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.472v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.521v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.499v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.151v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.481v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.529v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.444v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.441v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.458v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.487v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.449v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.460v1","PeerJ","posted-content",2018-01-12,2018
