"DOI","publisher","type","created","created_year"
"10.3390/agronomy7020032","MDPI AG","journal-article",2017-04-25,2017
"10.3390/agronomy7010018","MDPI AG","journal-article",2017-02-23,2017
"10.7153/mia-2018-21-29","Element d.o.o.","journal-article",2018-03-16,2018
"10.5194/hess-21-2341-2017","Copernicus GmbH","journal-article",2017-05-05,2017
"10.1175/jcli-d-17-0280.1","American Meteorological Society","journal-article",2017-08-30,2017
"10.1016/j.epsl.2017.12.025","Elsevier BV","journal-article",2018-01-08,2018
"10.1515/geo-2019-0040","Walter de Gruyter GmbH","journal-article",2019-10-04,2019
"10.1007/s00477-018-1638-6","Springer Science and Business Media LLC","journal-article",2019-01-01,2019
"10.2196/medinform.9171","JMIR Publications Inc.","journal-article",2018-05-02,2018
"10.1044/2019_aja-18-0171","American Speech Language Hearing Association","journal-article",2019-09-05,2019
"10.2196/mhealth.9303","JMIR Publications Inc.","journal-article",2018-04-25,2018
"10.22148/16.024","CA: Journal of Cultural Analytics","journal-article",2018-07-13,2018
"10.1044/persp3.sig1.58","American Speech Language Hearing Association","journal-article",2018-04-27,2018
"10.1080/2153599x.2018.1502678","Informa UK Limited","journal-article",2018-07-30,2018
"10.22148/16.018","CA: Journal of Cultural Analytics","journal-article",2018-01-22,2018
"10.22148/16.019","CA: Journal of Cultural Analytics","journal-article",2018-02-10,2018
"10.22148/16.021","CA: Journal of Cultural Analytics","journal-article",2018-03-22,2018
"10.22148/16.017","CA: Journal of Cultural Analytics","journal-article",2017-11-12,2017
"10.22148/16.020","CA: Journal of Cultural Analytics","journal-article",2018-02-12,2018
"10.22148/16.014","CA: Journal of Cultural Analytics","journal-article",2017-05-08,2017
"10.1038/s41598-018-36675-8","Springer Science and Business Media LLC","journal-article",2019-02-04,2019
"10.1016/j.intell.2019.101386","Elsevier BV","journal-article",2019-11-05,2019
"10.22148/16.013","CA: Journal of Cultural Analytics","journal-article",2017-03-30,2017
"10.2196/resprot.9374","JMIR Publications Inc.","journal-article",2018-04-09,2018
"10.5670/oceanog.2018.207","The Oceanography Society","journal-article",2018-05-30,2018
"10.1016/j.cub.2018.06.010","Elsevier BV","journal-article",2018-07-26,2018
"10.22148/16.012","CA: Journal of Cultural Analytics","journal-article",2017-02-10,2017
"10.22148/16.011","CA: Journal of Cultural Analytics","journal-article",2017-02-10,2017
"10.1016/j.ecss.2018.07.011","Elsevier BV","journal-article",2018-07-17,2018
"10.22148/16.010","CA: Journal of Cultural Analytics","journal-article",2017-02-10,2017
"10.1080/16583655.2019.1663782","Informa UK Limited","journal-article",2019-09-12,2019
"10.1177/1359105318787013","SAGE Publications","journal-article",2018-07-31,2018
"10.22148/16.009","CA: Journal of Cultural Analytics","journal-article",2017-02-10,2017
"10.1016/j.nlm.2018.09.007","Elsevier BV","journal-article",2018-09-20,2018
"10.1080/14616734.2018.1530684","Informa UK Limited","journal-article",2018-10-11,2018
"10.22148/16.008","CA: Journal of Cultural Analytics","journal-article",2017-02-10,2017
"10.1038/s41598-019-39468-9","Springer Science and Business Media LLC","journal-article",2019-02-19,2019
"10.22148/16.007","CA: Journal of Cultural Analytics","journal-article",2017-02-10,2017
"10.2196/11848","JMIR Publications Inc.","journal-article",2018-10-18,2018
"10.22148/16.006","CA: Journal of Cultural Analytics","journal-article",2017-02-10,2017
"10.1037/xge0000516","American Psychological Association (APA)","journal-article",2018-11-29,2018
"10.2196/diabetes.9531","JMIR Publications Inc.","journal-article",2018-11-23,2018
"10.1057/s41599-019-0221-1","Springer Science and Business Media LLC","journal-article",2019-02-12,2019
"10.22148/16.005","CA: Journal of Cultural Analytics","journal-article",2017-02-10,2017
"10.1126/science.aam9969","American Association for the Advancement of Science (AAAS)","journal-article",2017-06-29,2017
"10.22148/16.004","CA: Journal of Cultural Analytics","journal-article",2017-02-08,2017
"10.1111/1745-9125.12229","Wiley","journal-article",2019-10-23,2019
"10.22148/16.003","CA: Journal of Cultural Analytics","journal-article",2017-02-08,2017
"10.22148/16.002","CA: Journal of Cultural Analytics","journal-article",2017-02-08,2017
"10.2196/publichealth.9594","JMIR Publications Inc.","journal-article",2018-06-05,2018
"10.1016/j.physbeh.2019.01.006","Elsevier BV","journal-article",2019-01-11,2019
"10.1073/pnas.1801270115","Proceedings of the National Academy of Sciences","journal-article",2018-06-25,2018
"10.3758/s13428-019-01236-y","Springer Science and Business Media LLC","journal-article",2019-04-01,2019
"10.1177/0038038519853146","SAGE Publications","journal-article",2019-06-17,2019
"10.9734/ajrimps/2018/43202","Sciencedomain International","journal-article",2018-09-05,2018
"10.1016/j.marpol.2018.05.020","Elsevier BV","journal-article",2018-05-22,2018
"10.3758/s13414-019-01688-6","Springer Science and Business Media LLC","journal-article",2019-02-13,2019
"10.1007/s12078-019-09257-9","Springer Science and Business Media LLC","journal-article",2019-01-25,2019
"10.1038/s41467-019-08835-5","Springer Science and Business Media LLC","journal-article",2019-02-19,2019
"10.1038/sdata.2019.5","Springer Science and Business Media LLC","journal-article",2019-02-05,2019
"10.6028/nist.ir.8228","National Institute of Standards and Technology","report",2019-06-21,2019
"10.1016/j.envsci.2018.06.007","Elsevier BV","journal-article",2018-06-16,2018
"10.1126/sciadv.aay1062","American Association for the Advancement of Science (AAAS)","journal-article",2019-11-21,2019
"10.1016/j.ijthermalsci.2019.106043","Elsevier BV","journal-article",2019-08-03,2019
"10.1126/science.aav2546","American Association for the Advancement of Science (AAAS)","journal-article",2019-01-25,2019
"10.1080/02786826.2019.1623863","Informa UK Limited","journal-article",2019-05-30,2019
"10.1139/cjfas-2017-0529","Canadian Science Publishing","journal-article",2018-06-28,2018
"10.1007/s11926-013-0387-2","Springer Science and Business Media LLC","journal-article",2013-10-30,2013
"10.1108/ijoem-01-2017-0028","Emerald","journal-article",2019-02-13,2019
"10.1038/s41562-019-0730-3","Springer Science and Business Media LLC","journal-article",2019-09-16,2019
"10.22148/16.038","CA: Journal of Cultural Analytics","journal-article",2019-05-17,2019
"10.22148/16.037","CA: Journal of Cultural Analytics","journal-article",2019-05-16,2019
"10.1515/anly-2019-0038","Walter de Gruyter GmbH","journal-article",2019-11-23,2019
"10.3390/vision3020021","MDPI AG","journal-article",2019-05-20,2019
"10.3390/ijms20123012","MDPI AG","journal-article",2019-06-20,2019
"10.3390/rs11151797","MDPI AG","journal-article",2019-07-31,2019
"10.3390/met9060641","MDPI AG","journal-article",2019-06-03,2019
"10.1111/bjet.12821","Wiley","journal-article",2019-05-23,2019
"10.1016/j.marpol.2018.05.007","Elsevier BV","journal-article",2018-05-26,2018
"10.1016/j.marpol.2018.05.012","Elsevier BV","journal-article",2018-05-21,2018
"10.1038/sj.mp.4001499","Springer Science and Business Media LLC","journal-article",2004-03-23,2004
"10.1111/socf.12541","Wiley","journal-article",2019-08-13,2019
"10.6028/nist.ir.8183a-3","National Institute of Standards and Technology","report",2019-09-30,2019
"10.6028/nist.ir.8183a-1","National Institute of Standards and Technology","report",2019-09-30,2019
"10.6028/nist.ir.8183a-2","National Institute of Standards and Technology","report",2019-09-30,2019
"10.1016/j.epsl.2017.10.031","Elsevier BV","journal-article",2017-11-06,2017
