"DOI","publisher.x","type.x","created.x","created_year.x","relation_type.x","relation_DOI","asserted_by_object.x","asserted_by_subject.x","publisher.y","type.y","created.y","created_year.y","relation_type.y","asserted_by_object.y","asserted_by_subject.y","reciprocal"
"10.5194/amtd-7-11265-2014","Copernicus GmbH","journal-article",2014-11-18,2014,"is-preprint-of","10.5194/amt-8-1073-2015","object","subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201609.0073.v1","MDPI AG","posted-content",2016-09-23,2016,"is-preprint-of","10.5281/zenodo.167869",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201612.0102.v1","MDPI AG","posted-content",2016-12-21,2016,"is-preprint-of","10.11948/2017031",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.5194/tc-2016-280","Copernicus GmbH","posted-content",2017-01-26,2017,"is-preprint-of","10.5194/tc-11-1625-2017","object","subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201701.0134.v1","MDPI AG","posted-content",2017-02-05,2017,"is-preprint-of","10.3390/agronomy7020032",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201702.0043.v1","MDPI AG","posted-content",2017-02-17,2017,"is-preprint-of","http://www.compama.co.usb.ve/sites/default/files/forthcoming/compama_vol5-n1-art05-(2016-022-mohammad_abubakar-accepted20170526).pdf",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201702.0083.v2","MDPI AG","posted-content",2017-02-26,2017,"is-preprint-of","10.3390/agronomy7010018",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201702.0093.v1","MDPI AG","posted-content",2017-03-01,2017,"is-preprint-of","10.5281/zenodo.569984",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201703.0119.v1","MDPI AG","posted-content",2017-03-20,2017,"is-preprint-of","10.7153/mia-2018-21-29",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.5194/hess-2015-538","Copernicus GmbH","posted-content",2016-01-27,2016,"is-preprint-of","10.5194/hess-21-2341-2017",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201704.0124.v1","MDPI AG","posted-content",2017-04-21,2017,"is-preprint-of","10.5281/zenodo.546254",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201705.0029.v1","MDPI AG","posted-content",2017-05-05,2017,"is-preprint-of","10.1175/jcli-d-17-0280.1",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201705.0029.v2","MDPI AG","posted-content",2017-07-04,2017,"is-preprint-of","10.1175/jcli-d-17-0280.1",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201708.0009.v1","MDPI AG","posted-content",2017-08-09,2017,"is-preprint-of","10.1016/j.epsl.2017.12.025",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201705.0029.v3","MDPI AG","posted-content",2017-08-28,2017,"is-preprint-of","10.1175/jcli-d-17-0280.1",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.5194/bg-2017-348","Copernicus GmbH","posted-content",2017-08-30,2017,"is-preprint-of","10.5194/bg-15-1173-2018","object","subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201608.0147.v1","MDPI AG","posted-content",2016-08-17,2016,"is-preprint-of","10.22034/kjm.2016.40640",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201709.0038.v1","MDPI AG","posted-content",2017-09-14,2017,"is-preprint-of","10.1515/geo-2019-0040",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.20944/preprints201710.0133.v1","MDPI AG","posted-content",2017-10-23,2017,"is-preprint-of","10.1007/s00477-018-1638-6",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
"10.2196/preprints.9171","JMIR Publications Inc.","posted-content",2017-10-26,2017,"is-preprint-of","10.2196/medinform.9171",NA,"subject",NA,NA,NA,NA,NA,NA,NA,NA
